# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
20	textures\tiles.png	255	128	192
30	textures\misc.png	176	224	248
40	textures\misc2.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\misc-2.png	166	185	255
70	textures\mario-2.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	291	181	0		
10003	305	155	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	171	182	0
10013	125	155	141	181	0
#jump
10014	395	275	411	301	0
10015	35	275	51	301	0
#duck
10016	426	239	440	257	0
10017	6	239	20	257	0
# die 
10099	215	120	231	135	0
# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
# jump
10034	395	80	411	96	0	
10035	35	80	51	96	0

#FIRE MARIO
#idle right
10040	246	394	260	421	0
#walk
10041	275	394	291	421	0
10042	305	395	321	421	0
#idle left
10043	186	394	200	421	0
#walk
10044	155	394	171	421	0
10045	125	395	141	421	0
#jump
10046	395	515	411	541	0
10047	35	515	51	541	0
#duck
10048	426	479	440	497	0
10049	6	479	20	497	0

#RACOON MARIO
#idle right
10050	243	634	264	662	0		
#walk
10051	272	634	294	662	0
10052	303	634	324	661	0
#idle left
10053	182	634	203	662	0
#walk
10054	152	634	174	662	0
10055	122	634	143	661	0
#jump
10056	392	754	415	781	0
10057	31	754	54	781	0
#duck
10058	422	719	444	737	0
10059	2	719	24	737	0
#Fall
10060	211	603	234	630	70
10061	291	443	314	470	70
10062	172	603	195	630	70
10063	92	443	115	470	70
#Fly right
10064	291	603	315	631	70
10065	331	603	355	630	70
fly left
10066	91	603	115	631	70
10067	51	603	75	630	70

#Turning 
10068	426	0	440	16	0
10069	6	0	20	16	0
10070	425	154	441	182	0
10071	5	154	21	182	0
10072	425	394	441	422	0
10073	5	394	21	422	0
10074	425	633	441	663	0
10075	5	633	21	663	0

#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#KOOPAS
#walk left
50001	205	191	221	218	50
50002	222	192	238	218	50
#walk right
50011	187	191	203	218	50
50012	170	192	186	218	50
#Spin
50013	256	202	272	218	50
50014	273	202	289	218	50
50015	290	202	306	218	50

#die
50031	239	202	255	218	50




#BRICK
20001	239	222	255	238	20
#LEFT BRICK
20002	222	222	238	238	20
#RIGHT BRICK
20003	256	222	272	238	20

#BRICK2
20004	1	18	17	34	40
20005	18	18	34	34	40
20006	35	18	51	34	40

#BRICK3
20008	324	171	340	187	20

#BRICK4
20009	273	154	289	170	20

#TRANSPARENT UPSIDEBRICK
20010	256	1	272	2	20

#COIN
20011	171	137	185	153	20
20012	370	100	384	116	60
20013	353	100	367	116	60

#QUESTION BRICK
40001	120	52	136	68	40
